id_alimento_anmat,nombre,denominacion,marca,categoria,kcal_100g,unidad,proteinas_100g,grasas_100g,carbs_100g
31885,Pepas integrales,Galletitas dulces a base de harina integral con mermelada de membrillo,Convidame,Galletitas y bizcochos,400.0,g,5.22,18.26,58.7
31886,Alfajor de maicena,Alfajor relleno de dulce de leche,Frambuesa & chocolate,Galletitas y bizcochos,268.0,g,5.2,12.2,30.0
31887,Cookies integrales con chips y nueces,Galletitas dulces a base de harina integral con baño de repostería semiamargo y nueces,Convidame,Galletitas y bizcochos,422.86,g,8.0,22.86,54.29
31888,Masa para tarta integral,Masa para tarta a base de harina integral congelada,Convidame,Pastas frescas sin relleno,324.44,g,10.37,14.44,46.67
31889,Prepizza integral,Masa precocida para pizza a base de harina integral congelada,Convidame,Pan y productos de panadería,230.0,g,7.89,4.78,47.78
31890,Prepizza de arroz,Masa precocida para pizza a base de harina de arroz congelada,Convidame,Pan y productos de panadería,149.41,g,2.24,2.0,31.76
31891,Pan lactal con harina integral y 4 semillas,"Pan lacteado con harina integral y semillas de sésamo, girasol, lino y chia",Frambuesa & chocolate,Pan y productos de panadería,198.46,g,7.69,3.69,38.46
31892,Pan lactal,Pan lacteado,Frambuesa & chocolate,Pan y productos de panadería,243.08,g,8.46,4.31,50.15
31893,Tapa de chocolate - relleno de dulce de frambuesa,Alfajor relleno de dulce de framuesa cubierto con chocolate semiamargo,Frambuesa & chocolate,Galletitas y bizcochos,445.33,g,4.0,20.0,61.33
31894,Tapa de nuez -relleno de dulce de leche,Alfajor con nuez relleno de dulce de leche con cobertura de chocolate blanco,Frambuesa & chocolate,Galletitas y bizcochos,466.67,g,4.0,22.67,65.33
31895,Tapa de nuez - relleno de dulce de frambuesa,Alfajor con nuez relleno de dulce de frambuesa con cobertura de chocolate blanco,Frambuesa & chocolate,Galletitas y bizcochos,440.0,g,4.0,20.0,60.0
31896,Mousse,Alfajor con relleno sabor chocolate semiamargo con baño de repostería semiamargo,Productos artesanales del montañes,Galletitas y bizcochos,208.57,g,2.86,12.86,21.43
